German|adj. 德国的
blog|n. 博客
grammar|n. 语法
sound|n. 声音
complete|v. 完成
hobby|n. 爱好
country|n. 国家
age|n. 年龄
dream|n. 梦想
everyone|pron. 人人，所有人
Germany|n. 德国
mountain|n. 山；山脉
elder|adj. 年长的
friendly|adj. 友爱的；友好的
engineer|n. 工程师
world|n. 世界
Japan|n. 日本
flat|n. 公寓
yourself|pron. 你自己
close to|（在空间，时间上）接近
go to school|去上学
be good at|擅长
make friends with|与……交朋友
all over|遍及
U.S.|美国
would like to|愿意
daily|adj. 每日的, 日常的
article|n. 文章
never|adv. 从不
table tennis|n. 乒乓球
ride|v. 骑；驾驶
usually|adv. 通常地
so|conj. 因此；所以
seldom|adv. 不常；很少
geography|n. 地理
break|n. 休息
bell|n. 钟；铃
ring|v. （使）发出钟声，响起铃声
end|v. 结束；终止
band|n. 乐队
practice|n. 练习
together|adv.在 一起
market|n. 集市；市场
guitar|n. 吉他
grade|n. 年级
junior high school|初级中学
on foot|步行
take part in|参加
have a good time|过得愉快
go to bed|去睡觉
get up|起床
earth|n. 陆地 首字母大写时为地球
quiz|n.知识竞赛；小测验
pattern|n. 模式；形式
protect|v. 保护
report|n. 报告
part|n. 部分
land|n. 陆地
field|n. 田地；田野
large|adj. 大的
provide|v. 提供
pollution|n. 污染
burn|v. 燃烧
energy|n. 能量；能源
pollute|v. 污染
into|prep. 到……里面；进入
ground|n.地面
kill|v. 杀死
must|modal v. 必须
important|adj. 重要的
fact|n. 事实
kilometre|n. 公里；千米
own|adj. 自己的
catch|v. 捕捉
few|adj. 不多；很少
away|adv. 去别处；朝另一个方向
problem|n. 问题；难题
provide with|为……提供……
put into|把……倒入……
throw away|扔掉
Australia|n. 澳大利亚
footprint|n. 脚印；足迹
wet|adj. 湿的
puddle|n. 水坑
kick|v. 踢
town|n. 镇
blow|v. 吹
everything|pron. 所有事物, 一切
trip|n. 旅行
shine|v. 照耀
picnic|n. 野餐
dry|adj. 干的；干燥的
snowy|adj. 下雪多的
spend|v. 花（时间）；度过
relative|n. 亲戚；亲属
during|prep. 在……期间
grandparent|n. 祖父（母）；外祖父（母）
packet|n. 小包装纸袋
take a trip|去旅行
go swimming|去游泳
have a picnic|野餐
bright|adj. 明亮的
fly a kite|放风筝
diary|n. 日记；日记簿
space|n. 太空
spaceship|n. 宇宙飞船
spacesuit|n. 宇航服；航天服
nervous|adj. 紧张的
leave|v. 离开
gravity|n. 重力；地球引力
able|adj. 能；能够
float|v. 漂浮；浮动
tie|v. 系；捆；绑
ourselves|pron. 我们自己
without|prep.没有；缺乏
weak|adj. 虚弱的,；无力的
breathe|v. 呼吸
if|conj. 如果
camera|n. 照相机
work|v. 运转；运行
garden|n. 花园
rock|n. 岩石
postcard|n. 明信片
machine|n.机器
return|v. 返回
more than|多于
be able to|能够
have to|不得不；必须,
so that|以便
take photos|拍照
that is|也就是说,；即
such as|例如
Asia|n. 亚洲
guide|n.手册；指南
area|n. 地域；地区
traditional|adj. 传统的
modern|adj. 现代的；近代的；现代化的
sightseeing|n. 观光, 游览
centre|n. 中心点；中心
fountain|n. 喷泉
building|n. 建筑
just|adv. 正好；恰好
across|prep. 在……对面；在……对过
light|v. 照亮；使明亮
direction|n. 方向
natural|adj.自然的；天然的
beauty|n. 美；美丽
bridge|n. 桥
pond|n. 池塘
snack|n. 小吃
outside|prep. 在……外面
dumpling|n. 饺子；汤团
temple|n. 庙；寺
places of interest|名胜
in the centre of|在……的中心
light up|点亮；照亮
fair|n. 展览会；展销会
photography|n. 摄影
rocket|n. 火箭
solar|adj. 太阳的
power|n. 能；能量
attend|v. 参加
teach|v. 教；讲授
launch|v. 发射
disappear|v. 消失；消散
surprised|adj. 吃惊的；感到惊讶的
another|pron. 又一；另一（事物或人）
amazing|adj. 令人大为惊奇的
skill|n. 技术
boring|adj. 令人厌倦（或厌烦）的；乏味的
headline|n. 大字标题
information|n. 消息；资料
ant|n. 蚂蚁
butterfly|n. 蝴蝶
bee|n. 蜜蜂
recent|adj. 近来的,；新近的
learn about|学习
all the way|一路上, 自始至终
of course|当然
remote control|遥控器
look up|（在词典或参考书中）查阅，查检
unusual|adj. 与众不同的；不寻常的
interview|n. & v. 采访
model|n. 模型
stamp|n. 邮票
doorbell|n. 门铃
front|adj.前面的
silver|adj. 银色的；银白色的
push|v. 按；揿；摁
soon|adv. 不久
grandson|n. 孙子,；外孙
granddaughter|n. 孙女,；外孙女
newspaper|n. 报纸
inside|adv. 向里面
everywhere|adv. 处处；到处, ；各个地方
follow|v. 跟随
hardly|adv. 几乎不；几乎没有
space|n. 空间
free|adj.空闲的
should|modal v. 应该
sentence|n. 句子
magazine|n. 杂志
something|pron.某事；某物
really|adv. （强调观点等）确实，的确
anything|pron. 任何东西；任何事物
ago|adv. 以前
UK|n. 英国
over|adv.以上；大于；多于
living room|客厅；起居室
be bad for|对……有害的
be interested in|对……感兴趣
work of art|（绘画、雕塑等）艺术作品










